LZ,time,user_name,response
今天坐@春秋航空 从普吉岛回到上海，飞机一熄火就断电了没空调，在封闭的机舱内等了很长时间，我已经严重缺氧手脚发软，可是机长和乘务员还是拒绝开舱门，我知道驾驶室是有窗子的，我恳求站到机长室门口吸口空气，吸了两口 机长砰地关上门。又过了一会儿，在乘客再三的抗议下终于打开舱门。我理解航空公司的规定，但飞机已经没电了，客舱里没有氧气是要出人命的。我已经出现症状的情况下机组人员还是尽忠职守，为了守规矩不顾乘客死活。 上海·上海浦东国际机场 叶弘历LeoYe的秒拍视频,3小时前,囿怽,春秋航空简直不要太垃圾  经常取消航班  延误航班  还不停地搞推销
 ,21小时前,黄磊g,春秋航空就是个辣鸡航班
 ,昨天 13:16,岑祎_,春秋真的很垃圾
 ,昨天 00:05,叶弘历LeoYe,回复@我不是百度575757:这之后的一条微博里有写
 ,06-26,我不是百度575757,回复@叶弘历LeoYe:卡卡西故事线？不懂
 ,06-25,臻儿lucky,呵呵，春秋航空，永远不要坐
 ,06-25,漂洋过海的布布,对于飞机空调机制我一个外行肯定不清楚 不过我很好奇 为什么搭国泰 新航 进出国内的飞机 全部是看起来就很老旧的飞机 也发生过很多次因为空管原因在机内等待 空调却从来都是冷到要盖毯子呢
 ,06-24,LYNN_HOME,回复@大家都羞涩地叫我灿总:我说的是那些说买便宜机票的，回复错位置了……
 ,06-24,宇无止境,@圈肆
 ,06-19,管管Gunners,服了，这种真的很过分。。我今天凌晨3点到的上海
 ,06-21,国产好白菜,不知道哪些说人都说了是故障，不是故意的，人没事就好了的那种，如果在你生你受到威胁的时候你也能说忍一忍就好了？人没事就好？谁都不是圣母，生命都受到威胁了，还有什么是需要忍耐的？等死后的申冤么？规定是死的，人事活的，可能是我三观不正，所以我不知道有什么规定可以大过生命。
 ,06-20,达小先生的小生活,回复@ffs123345:我就是三关，为啥我们这里，一落地就去接旅客了
 ,06-20,媒体人寇家祥,关注！关注！密切关注！
 ,06-22,lovemayday1017,回复@诺字半边若billon:规定凌驾在生命和健康之上咯？教育真失败。机长之所以是机长，就跟工程师和医生一样，有权力做破坏规定但遵循伦理道德的决定。
 ,06-21,春风十里天辽阔,回复@加油哒姑娘:每个人对缺氧的耐受力都是不同的，比如高原反应就不是每个人都有。机组人员没有及时采取应对措施是极其缺德的！从这件事可以看出，这种人在关键时刻是不会在意别人的死活的！
 ,06-19,RumPelSTilSkiNN,国际航班没有海关边检这些单位是不能开舱门的，白天这些单位到位很及时，晚上这些单位就经常晚到。这些单位不受民航局管，所以航司也没有办法。但春秋直接关掉空调这个我真服。
 ,06-20,诺字半边若billon,在一个小的密封环境，人会有一定的心理暗示，心理作用也有点吧，不过这种心情可以理解，但是出故障工作人员也没办法不能擅自做主破坏规定吧，总是要向上级通话才能有所行动。
 ,06-20,carolineseachen,同航班，就坐你旁边 当时难受腿软都站不起来
 ,06-23,HU-FreeMan,回复@叶弘历LeoYe:APU一小时才烧200磅的油，不会有人为了省油不开APU的，通常是有故障，而且是临时性的，不然不会关掉发动机这样闷着等电源和空调，除非这机组脑子进水了
 ,06-23,天马行空723,"回复@HU-FreeMan:开口骂人,毫无素质."
 ,06-23,用户6462291871,我也逃生了
 ,06-23,MEPHEST_林登万,回复@RumPelSTilSkiNN:扯淡需要海关边检到位，都有授权的
 ,06-23,TOMMY奶茶,开门就回不去了
 ,06-22,荡荡htl,回复@叶弘历LeoYe:恭喜
 ,06-22,叶弘历LeoYe,回复@gLfnChxA7:这种p话不用你说来体现自己是修飞机的懂吗looser  空气没有很好的循环 行了吗智障
 ,06-22,gLfnChxA7,回复@叶弘历LeoYe:我对你们的遭遇深表同情，但是在我的回复中我只是指出你所说的“空气没有循环”是错误的而已，懂了吗杠精？你的工作是赛车手，而我的工作是机务，术业有专攻，ok？
 ,06-22,叶弘历LeoYe,回复@小白白素贞:你躺下 等死
 ,06-22,小白白素贞,唯恐天下不乱呀，缺氧还有那么多人站得起来，乖乖位子上坐着呗
 ,06-22,总裁大人的小甜饼,自从春秋航空摔坏了我新秀丽的硬壳行李箱后再也不敢坐春秋了
 ,06-22,叶弘历LeoYe,回复@诺字半边若billon:看看火影吧 看看卡卡西的故事线
 ,06-22,叶弘历LeoYe,回复@Vincent_Wu鑫:可能有些人是不用氧气也能活的
 ,06-22,gLfnChxA7,回复@叶弘历LeoYe:飞机在万米高空都不会漏气，密封性极好，要是没有空气循环，你们一百多号人两分钟就死绝了
 ,06-22,永远的小V哥,回复@西西里的小馒头:是不是GPU迟迟没来，应急灯电池包没电AOG了？
 ,06-22,Vincent_Wu鑫,这些评论都是什么人啊!  都觉得自己没遇到就可以在旁边说风凉话的！这么多人在飞机上，密闭的空间，到时候休克什么不就是很危险了嘛！！！ 真的搞不懂，其他人都是什么心态，还有说夸大其词的
 ,06-22,天马行空723,回复@HU-FreeMan:你才是，开口骂人，毫无素质。
 ,06-22,lovemayday1017,回复@诺字半边若billon:规定凌驾在生命和健康之上咯？教育真失败。机长之所以是机长，就跟工程师和医生一样，有权力做破坏规定但遵循伦理道德的决定。
