LZ,time,user_name,response
夜航，刚刚准备入睡，东航MU779机组人员给我送来了生日的祝福～满满的感动！去年的这时我也在从上海回奥克兰的途中，今年依旧，这奇妙的缘分和温暖的回忆，让这特别的一天更加的特别～这架班机是这浩瀚夜空中最美丽的一颗星星～@东方航空 ,06-27,东方航空,感谢星空中还有你相伴~
"@东方航空 今天云朵造型有没有很像你们的logo

 ",06-25,东方航空,像!
大学毕业了，，今天就要走啦！！有太多不舍！以后飞长春→西安这条航线的机会就越来越少了，MU2142(MU2141)这两个航班也陪我度过了四年大学生活开心@东方航空  谢谢你们陪我度过漫长岁月！ 长春 ,06-20,我喜欢的样子周周你都有,@我喜欢的样子周周你都有：晚了两分钟到浦东机场，就不能办理值机了，但是你们并没有尽到告知义务。乘客并不知道提前45分钟要停止办理值机。   给个说法呀！
 ,06-14,微权克天音,东航机长侮辱自家员工了解一下，远离南航吧
 ,06-12,东方航空,感谢一路相伴，感谢有你~
"东航的服务有点完美
@东方航空 上海·上海浦东国际机场 ",06-11,东方航空,谢谢~期待下次和您再次完美相遇~
 ,06-11,爱德华多多多多,回复@-Aurora-xx:钱可以带来高品质生活，我每次看完美食节目也是激励我赚钱
 ,06-10,-Aurora-xx,回复@爱德华多多多多:突然有了好好赚钱的动力
 ,06-10,爱德华多多多多,毕竟头等舱～
 ,06-10,-Aurora-xx,回复@大鱼学渣_marina:我得去玩几把飞车
 ,06-10,大鱼学渣_marina,毕竟头等舱哈哈哈哈
收到啦！！谢谢东方航空@东方航空 ,05-16,我的名字叫杨贺,这绝对算是限量藏品了。
 ,05-16,东方航空,不客气哟~感谢您参与我们的活动~
"你能找到@东方航空 首架A350的身影吗
#航旅趣闻# （图片来自Tobias_Gudat） ",05-16,他三姐201703,v尴尬不
 ,05-14,陈年檐,为嘛尾翼上是德国国旗啊，求解
 ,05-14,一直在追飞机的8252,回复@东方航空:没有
 ,05-14,东方航空,大隐隐于机队中~你找到我了吗~
 ,05-14,只是已惘然19780801_643,南航要2019年交付啊，怎么现在就有呢？
 ,05-14,Howe_10_21,只看到了两颗白菜
 ,05-14,刘先森Daa,我并找不到
 ,05-14,与华莱士谈笑风生的Senior,ANA后面那个，看到字体就是东航了
 ,05-13,BrianYuH750,有一架白的，全日空旁边那架，右下角似乎可以看到机身logo的一部分
 ,05-13,YY的茶渍饭,回复@Jiaqi_Tang:后面垂尾上都是德国国旗，汉堡吧
"正在体验了MU547 A33H的空中Wi-Fi，速度稳定，网速普通办公没问题
@东方航空 @SkyTeam_天合联盟 ",05-13,低调小飞侠132,拍的不错
 ,05-13,DankDancer,回复@又红又专的TK:gopro
 ,05-13,又红又专的TK,小哥你用啥相机照的？
 ,05-13,东方航空,实践证明～用空中Wi-Fi办公是可以滴～
"东航真的是越来越敷衍了...睡醒的时候小桌板上放了一份粥和萝卜干，还没有小餐包
 @东方航空 以后不宠你了 ",05-11,林生不忧伤,回复@东方航空:别闹，还宠你...
 ,05-11,东方航空,""","
 ,05-11,林生不忧伤,回复@林烦烦啊:还是算了吧，在东航大本营生活，还是东航方便
 ,05-11,林烦烦啊,把东航打入冷宫
个人觉得这是目前国内最漂亮的网红飞机，没有之一@东方航空 @空中客车 @斯文的威猛 @西岳-布丁他爸 @广州天翼模型店 ,05-02,东方航空,""","
 ,05-01,Journey787,我感觉涂在77W上更好看
 ,05-01,广州天翼模型店,大佬发话了，必须赞成～
 ,04-30,咪立马啦轰轰轰,赞
 ,04-30,西岳-布丁他爸,感谢分享。
"幸运的小朋友把所有奖品都抱走了
不过可以考虑把小朋友发展成“有分量”的航空大V，下次一起#邂逅东航迪士尼#@东方航空 @FATIII 怎么看[机智] 上海·上海玩具总动员酒店 ",05-02,东方航空,""","
 ,04-29,航旅圈,回复@灰化肥发灰会挥发_:他会伤心的
 ,04-29,航旅圈,回复@love小浪浪fly:从娃娃抓起
 ,04-29,航旅圈,回复@FATIII:这个熊有点像你啊
 ,04-29,游向幸福终点的芬兰鱼,没有抽奖了
 ,04-29,FATIII,机智地躲开了
 ,04-28,灰化肥发灰会挥发_,有分量当然是某胖了
 ,04-28,FatZong,牛逼
 ,04-28,会预测极光的机务奶爸,想要咋办
 ,04-28,love小浪浪fly,这个好萌，哈哈把小朋友从小培养。
小姐姐们怎么能不发一张@东方航空 @东航官网 #邂逅东航迪士尼# ,04-29,Ted-xin,回复@东方航空:还是小哥哥符合我的胃口
 ,04-29,TT油炸豆腐脑,右二美
 ,04-28,查無此人_sT,请教中间那位 大的围巾领花 代表乘务长吗？
 ,04-28,东方航空,还有我们帅气的小哥哥呢？
 ,04-28,磊哥Aaron,国内航司最佳制服最有气质空姐
 ,04-28,欣喜的醋酸杆菌111,左三右一抱走
深深地感动。感谢东航人！@东方航空 南昌·滕王阁 ,2017-09-21,东方航空,""","
"胡歌最近频繁出现在东航，「制服歌」也太苏了吧～胡歌与「东航机长」有什么联系？那些网络爆料的图片是真的吗？小编偷偷告诉你们，在金鸡之年「胡机长」和东航有个约会哦
情人节的前一晚，我们来聊聊「胡歌」机长吧  ",05-11,flew张张張ting,什么电视剧啊
 ,2017-09-01,-露水安娜与海豚-,回复@小太子潇:求原图哇
 ,2017-05-11,来碗鱼片粥_,帅炸了，这次去上海，因为老胡坐了东方航空了
 ,2017-04-10,胤小四的海的回忆,回复@名字这么烦滴:帅
 ,2017-03-22,Vinson_Lee,@没有网络玖玖会抓狂
 ,2017-03-19,陈杨_CYY,回复@东方航空:背景音乐好好听⊙▽⊙
 ,2017-03-16,闲朲史无悠,回复@-LiuQianmeow:比我还是帅很多的
 ,2017-03-16,-LIUQiannnnnn,回复@HunterMann_Sxr:没有你帅
 ,2017-03-16,闲朲史无悠,回复@-LiuQianmeow:有点帅
 ,2017-03-16,-LIUQiannnnnn,@HunterMann_Sxr
 ,2017-02-16,sophylqy,#胡歌# 终于等到胡机长现身啦求胡老师以后拍部制服戏
 ,2017-02-16,林从从零,#胡歌#期待这个约会
 ,2017-02-16,Tiffany-Lau-婷,#胡歌# 长腿胡机长期待东航大片@胡歌
 ,2017-02-16,CENTER13,#胡歌# 暴帅的胡机长
 ,2017-02-16,萌猫图图,#胡歌# 嗷呜抱住大长腿机场！胡歌这气质气场太适合东航了出门只选东航了@胡歌 
 ,2017-02-16,慕歌的蘑菇头,#胡歌#好帅的机长呀！能告诉我这个机长飞哪个航班吗？求偶遇！@胡歌 
