LZ,time,user_name,response
"【夏日暖洋洋】本周丹麦的白昼达到17小时~ 最近天气也好得不得了，五月成为丹麦史上(1920年有记载以来)阳光最足的一个月，日均11.5小时阳光，把大家乐坏了
还有个好消息：@中国国际航空 北京至哥哈(直飞)航线开通了！两市间直飞班次上升至每周11班！#美妙的哥本哈根#
 丹麦·哥本哈根 ",06-28,跑车控小雨,回复@哥本哈根旅游局:出签了！太开心～第一个申根国签证，下个月丹麦见～
 ,06-27,JolinTomato,回复@哥本哈根旅游局:好呢谢谢呢
 ,06-27,哥本哈根旅游局,回复@JolinTomato:早晚会凉 但是夏天的衣服基本可以的
 ,06-27,JolinTomato,想问下 七月上旬去哥本哈根 穿夏天衣服冷吗
 ,06-24,晴天啦77,才开通很荣幸
 ,06-20,大晨妈妈手绘日记,好消息！争取去一趟，好好看看美好的城！
 ,06-17,哥本哈根旅游局,回复@跑车控小雨:等你来还愿！
 ,06-17,跑车控小雨,就凭你这条微博，已经去办签证了，求出签，会回来还愿的～
 ,06-14,说好的不快乐呢,回复@脚滑的小狐狸:
 ,06-14,脚滑的小狐狸,@说好的不快乐呢 考虑一下丹麦过周末啊
 ,06-03,哥本哈根旅游局,@航空物语 看过来
 ,06-03,成CHENGNING,回程买的直飞。国航超棒
 ,06-03,哥本哈根旅游局,国航(Air China)每周4班，北欧航空(SAS)每周7班
 ,06-04,Miss-Hera,想去！！！签证好办吗？
 ,06-27,哥本哈根旅游局,回复@JolinTomato:早晚会凉 但是夏天的衣服基本可以的
 ,06-17,哥本哈根旅游局,回复@跑车控小雨:等你来还愿！
 ,06-12,哥本哈根旅游局,回复@中国国际航空:评论加转发一下呗
 ,06-04,OoooopsJi,@哈笛笛 好美
 ,06-03,Angel-weny,乐个鬼哦，老不天黑怎么睡觉咯，而且还不晒成黑炭哦
 ,06-27,JolinTomato,想问下 七月上旬去哥本哈根 穿夏天衣服冷吗
