LZ,time,user_name,response
春秋航空你真恶心，托运行李的时候不告诉旅客超过100ml的需要托运，害我过安检的时候全都扔了，因为时间不够办理了，cao@春秋航空 @春秋航空 你们的服务真的需要提高，需要改进的空间太大了。 上海·上海浦东国际机场 ,06-26,七月de杰儿,回复@大胆大胆儿:无奈，胳膊肘掰不过大腿呀，认了吧
 ,06-26,大胆大胆儿,回复@春秋航空:14寸以下的箱子也没让我带上飞机谢谢
 ,06-26,七月de杰儿,回复@春秋航空:托运行李我可以接受，但是你柜台工作人员没有起到告知的作用，哪怕你说下化妆品超过多少毫升是不可以随身带着的。亲，你要知道化妆品扔掉也是很心痛的。真的建议贵公司可以接受一位不起眼乘客的建议，
 ,06-26,七月de杰儿,回复@这里是萝:问题是。我的行李箱在办理托运的时候柜台人员他没有告知我，或者用提醒来讲比较明确些
 ,06-26,春秋航空,您好，14寸以下的箱子才可以携带带上飞机，关于托运行李行李规则及价格查询   网页链接
 ,06-26,这里是萝,所有航司超过100ml都是要托运的，不能自己携带。
春秋航空真坑人呀，凭什么外面的行李额度和里面的行李额度不能共享？难道行李放的地方不是一个地方？强盗逻辑嘛@春秋航空 @春秋航空微博 ,06-26,落叶忄,回复@爱吃小龙虾你请我吗:值机和登机的时候，我一共加起来就十公斤的东西，结果罚我700，还不准二次托运
 ,06-26,落叶忄,回复@春秋航空:我的是登机箱，外面没有托运过，里面只有十公斤，为什么不给二次托运？为什么行李额度不能里面和外面不是加在一起的？我不是问你哪一条规定，我是问你这条规定凭什么？完全是霸王条款
 ,06-26,狮子在哪里呀,就会靠行李额挣钱
 ,06-26,狮子在哪里呀,真恶心
 ,06-26,春秋航空,您好，14寸以下的箱子才可以携带带上飞机，关于托运行李行李规则及价格查询   网页链接
 ,06-26,爱吃小龙虾你请我吗,你说的什么外面和里面，有这个区别吗，我只知道是手提加托运共14公斤，可以自己现在网上买好行李额
为什么春秋航班9C8836非要行李托运（明明是可以带上飞机的箱子）@春秋航空 广州·广州白云国际机场 ,06-22,春秋航空,您好，14寸以下的箱子才可以携带带上飞机，关于托运行李行李规则及价格查询 网页链接
"站在@春秋航空 的飞机上打高尔夫吗
 ",06-06,沈阳九爷,牛啊
 ,06-06,春秋航空,站在机模上可以，站在飞机上，要被关小黑屋的
 ,06-06,航旅圈,回复@同程机票:@Booking缤客 冠名
 ,06-06,爬上河边的螃蟹横着走,没敢去想
 ,06-06,同程机票,涂装变了？
 ,06-06,不会开飞行的空管不是一个好机务,现在正在开发布会
 ,06-06,CHY003-SOC,回复@love小浪浪fly:太高了，害怕呢
 ,06-06,CHY003-SOC,不不不，但是换发可以
 ,06-06,love小浪浪fly,这个有创意哈哈哈
"@春航小叮铛  @春秋航空  给春航打call
接电话的小哥哥太温柔啦，顺利解决我的问题
 ",05-16,春秋航空,""","
 ,05-16,凉雨初夏yyie,是的呢 上次坐春航感觉她们的服务态度特别的好
#春秋航空#@春秋航空 珠海机场的值机口E，告诉我20村行李箱不可以带上飞机！我选择花140快钱托运！但是上了飞机我发现几个人的箱子都比我的大，一样可以上飞机！我想问春秋航空，这个事你怎么解决！ 珠海·珠海机场 ,05-07,春航小叮铛,非常抱歉给您造成了困扰，让您这样配合我们工作的旅客受了委屈。我们是要求各站按统一标准执行，但部分外站是委托的机场代理，执行上不及春秋自己的员工尽职，确实会有这样的情况发生。后续我一定会把问题反馈给地面服务部门，加强执行力度，确保统一操作，对此再向您表示歉意
 ,05-07,林烦烦啊,你应该在网上买好行李额，这样比在机场托运便宜多了。
 ,05-07,春秋航空,您好，16寸以下的箱子才可以携带带上飞机，关于托运行李行李规则及价格查询 网页链接
"说真的以为无餐食，不给托运托运要加钱，还有卖泡面只会在报了廉价旅游团还要双飞的航班里才会出现，这么多航空公司就服了你了@春秋航空 ，忠告啊，大家千万不要坐春秋航空，不小心买了退了都不要坐，妈的行李托运完可以改别的航班的商务仓了


 ",04-22,王彦硕硕硕,回复@小纪家的滚滚:嗯嗯，我也是长了一个记性
 ,04-22,小纪家的滚滚,真的超辣鸡 买票从来不看航空公司 真的让坑死 以后春秋的票绝对不能买
 ,04-20,王彦硕硕硕,回复@米开朗基德:啊，价格敏感啊，反正就是很次了，动车都好过他
 ,04-20,王彦硕硕硕,回复@米开朗基德:那里低价、差几十块而已，敏感人群不能吃饭能去飞机上闻泡面？
 ,04-20,米开朗基德,廉价航空，主要针对价格敏感人群，减少餐饮等服务降低行李额度达到机票价格低廉的效果，把你安全的送到目的地又提供低廉的票价何乐不为。
 ,04-18,王彦硕硕硕,回复@春秋航空:
 ,04-18,王彦硕硕硕,回复@崔大6477759326:我也是第一次坐，第一次遇到不给托运行李的，以后肯定是不会买春秋的
 ,04-18,崔大6477759326,同感同感，今天刚刚遇到，20寸的行李箱非让托运，一件140元
