LZ,time,user_name,response
春秋航空太诡异了，资料填错了，取消订单再订一遍立马就没有了 而且没有的刚好就是取消的数量为什么 取消就不能再买了 取消的票不放出来了嘛@春秋航空 @春秋小叮当 ,2017-04-02,伍喵喵-小喵,回复@吸血鬼的春夏:春秋就没有了 只能买贵的了
 ,2017-04-01,缄哥不会飞,垃圾航空
 ,2017-04-01,春航小叮铛,因春秋采用全国联网销售，机票价格根据市场销售情况、供求关系，而随时可能更新变化的，票价上下浮动。如您当时查看到心仪的价格请您尽快订购，具体票价以您下单时的价格为准。
 ,2017-04-01,我那么可爱你下得去嘴,看看刷新一下页面有没有啊，取消订单照理说能定的啊
到达上海，晚了一个半小时，@春秋航空 @春秋小叮当 。餐也没的吃，找晚餐去 我在:中环路 ,2013-04-18,春航小叮铛,亲~对于航班延误给您带来的不便，小叮铛在此向亲深表歉意！真的灰常抱歉！
 ,2013-04-17,The-Vicky,OH~~~上海欢迎你。。。
"@春秋航空 @春秋小叮当 今天中午12点前麻烦你们客户投诉部经理和我联系 否则我们就法庭见
 不会再给你们时间了 耐心和精力已经用完 给了你们足够的时间和非常客观的投诉态度 你们都可以无视的话 对于你们这种垃圾航空 我没必要好姿态了 给脸不要脸的话 我连里子一起扔
 ",2013-03-12,lemondesign_jewelry,回复@春航小叮铛:我会尽量证明不是我弄坏 也请春秋方面给出你们的证明 不是你们弄坏 太尼玛恶心了你们 你们中文告知过我要在机场开包了？这不是让人光火么？我自己知道是那么贵重的物品我会在搬运过程中自己弄坏？？？？
 ,2013-03-12,春航小叮铛,亲~给您带来不愉快，小叮铛在此深表歉意~据小叮铛了解您是回家之后才发现物品损坏，出机场之后的责任本身就很难认定了。。。建议您今后在托运易碎物品时可多加留意物品的完整度哦~此外，我们已诚恳向您解释并说明，如有事实证明是我方过错，春秋航空不会推脱。
 ,2013-03-12,lemondesign_jewelry,回复@猫腻儿Nikko:谢谢！
 ,2013-03-12,York_mama,！！一定要给个说法！
 ,2013-03-12,lemondesign_jewelry,回复@娜娜是个幸福的小胖纸:谢谢亲
 ,2013-03-12,娜娜是个幸福的小胖纸,支持你
 ,2013-03-12,大丸子二哥,""","
春秋航空，广播里航班又说晚点了，这是第三次了………感谢你还通知了一声，然后解释说飞机需要换轮胎…………你们的飞机不定检吗…………@春秋小叮当@春秋航空 ,2012-12-29,看着人来人往的淡定,@春航小叮铛 难的有这样一个人持续的热情的关注'认真！这个人值得拥有！ @古道西风007007 
 ,2012-12-29,春航小叮铛,亲~即使定期检查，对于如此恶劣的天气飞机上有部分零件的使用寿命急剧缩短也属于正常情况尤其是轮胎~正常天气情况下对于轮胎的损耗是很厉害的，更别说这么恶劣的环境条件咯！！给您带来的不便，敬请谅解。
我以我的血泪史告诉大家，以后不能再坐春秋，再便宜也不坐。明明我们的飞机昨晚就在停机坪，塔台数据。春秋居然告诉乘客，因为沈阳大雪，你们的飞机还没有飞过来。飞你妹！！！！！毫无诚信的企业！！！！@春秋航空 @春秋小叮当  ,2012-12-29,春航小叮铛,回复@我要回到最原本的自己:无论哪种工作，都鸭梨山大哟~~
 ,2012-12-29,故事里的事而已,回复@春航小叮铛:作春秋的客服压力山大吧
 ,2012-12-29,梅婳清幽,話說春秋很糾結人滴
 ,2012-12-29,春航小叮铛,亲~前站的天气不好飞不过来，小叮铛也实在是无能为力。。。不过只要有大家的支持今后我们一定会壮大机队哟！！给亲带来的不便，小叮铛在此深表歉意了~~
 ,2012-12-29,故事里的事而已,回复@叮咚遙望白雲裡:wait
 ,2012-12-29,叮咚咚叮娜叮叮,[鄙視]那要到什么时候飞了，难不成一直等着，我都没坐过春秋
 ,2012-12-29,why_嘻哈,那现在情况如何？
@春秋航空 @春秋小叮当 不好意思，向你们道歉了！我的无聊发泄，竞让众人不适！深思后，发现我错了：1、我没有钱，搭不起贵飞机，你们延误是有道理的；2、我身体差，导致我没有体力去走那段路；3、我没文化，没有想办法通过其他渠道了解亲的服务；总结：谢谢你们，你们让我找到我们服务要改进的地方了 ,2012-03-13,春航小叮铛,亲，小叮铛看了原文了~春秋是中国第一家低成本航空公司，所以我们的销售系统是自己研发的，不进入中航信系统。另外，走路有益健康嘛~消消气哦亲~~
 ,2012-03-13,御姐范well,""","
下午上海浦东去厦门的9C8833取消了 联系你们客服也没人接电话 这该怎么办？今天一定要过去厦门的。。。。而且只是通知我取消 也没说改到什么时候走！~~@春秋航空 @春秋小叮当 ,2012-02-22,郝_KAKU様,回复@春航小叮铛:麻烦联系下我 客服还是无法接通！15120644123 谢谢啦！
 ,2012-02-22,郝_KAKU様,回复@到到夕:哈哈。。晓夕哥谢谢你！！
 ,2012-02-22,到到夕,看到没看到没...客服小叮铛多敬业..多速度.....快点私信吧..
 ,2012-02-22,春航小叮铛,亲，对于航班取消给您带来的不便非常的抱歉~由于浦东大雾，导致今天浦东=厦门9C8833航班取消了，可以为您免费变更至下一班有座位的春秋航空或者全额退票，但是没有额外的补偿~目前可能客服电话处于致电的高峰期，如请方便，请您私信提供您的联系方式我们主动与您取得联系，或者建议您重新拨打~
 ,2012-02-22,到到夕,小叮当AT错了..@春航小叮铛
石家庄到厦门机票_特价机票—春秋航空网  网页链接 ,2011-12-15,大李肥叨,忠实的春秋消费者啊！应该给个贵宾折扣呗～@春秋小叮当
 ,2011-12-04,春航小叮铛,""","
我上周五的航班取消了，现在还没人联系我，那请问我这张石家庄到厦门的机票是不是永久保留，可以改签到任意时候，@春秋航空石家庄营业部 @春秋航空 @春秋小叮当 ,2011-10-26,ichWassermann,[呲牙] 可以调到比较好的时段
 ,2011-10-26,春航小叮铛,如需变更或退票，请尽早联系我们，如有疑问也可咨询我们的24小时客服热线400-820-6222.我们将竭诚为您服务~
 ,2011-10-26,春航小叮铛,你好森家有光年，航班取消非常抱歉。您的机票可以在1年之内（机票有效期内，从订票日开始算）免费变更至春秋同一航段有位子的航班。如想退票也可把订单号私信小叮铛为您查询。
@春秋航空 @春秋小叮当 能不玩星期四晚上涨价，星期五早上再降回来的游戏不，心脏不好 ,2011-09-30,我是神灯,回复 @肥兜:爽啊…等你的攻略
 ,2011-09-30,肥兜,回复@我是神灯:十一十一，过几天就去
 ,2011-09-30,我是神灯,回复 @肥兜:哦…啥时候去发掘啊？
 ,2011-09-30,肥兜,回复@我是神灯:不知道，哈哈，还在发掘
 ,2011-09-30,我是神灯,回复 @肥兜:有啥玩的？
 ,2011-09-30,肥兜,回复@春航小叮铛:亲，谢谢你耐心回答哦，最终俺还是买好了～
 ,2011-09-30,春航小叮铛,亲..春秋航空机票销售采用世界航空业普遍使用的多舱位方法来设置，机票价格根据市场销售情况、供求关系逐步进行调整，但往往市场并非我们所完全预测的，有太多的不确定性，出现了不规律的价格体系.在今后的工作中，我们尽可能的把握好市场，但任何市场都是一个博弈的市场，所以还请您多理解哦
 ,2011-09-30,肥兜,回复@我是神灯:去福建吧
 ,2011-09-30,我是神灯,回复@肥兜:哦！明白了。长见识了。你要去哪儿happy啊？
 ,2011-09-30,肥兜,回复@我是神灯:我这几天看着买几张机票，前几天一直价格稳定，然后昨晚上忽然提价，我就开始纠结，等我纠结了半天，今天早上它居然又降了，白纠结了。根据长期关注票价的结果，他们经常这样玩啊
