LZ,time,user_name,response
春秋航空太诡异了，资料填错了，取消订单再订一遍立马就没有了 而且没有的刚好就是取消的数量为什么 取消就不能再买了 取消的票不放出来了嘛@春秋航空 @春秋小叮当 ,2017-04-02,伍喵喵-小喵,回复@吸血鬼的春夏:春秋就没有了 只能买贵的了
 ,2017-04-01,缄哥不会飞,垃圾航空
 ,2017-04-01,春航小叮铛,因春秋采用全国联网销售，机票价格根据市场销售情况、供求关系，而随时可能更新变化的，票价上下浮动。如您当时查看到心仪的价格请您尽快订购，具体票价以您下单时的价格为准。
 ,2017-04-01,我那么可爱你下得去嘴,看看刷新一下页面有没有啊，取消订单照理说能定的啊
9C8574什么情况，滞留济州岛回不去怎么办，明天还要飞福州！！@春秋小叮当 @飞常准 ,2015-12-26,Nalada-Chow,@张沐儿_tiffany蓝控 济州岛也是霾。。。。。。
 ,2015-12-26,飞常准,航班9C8574由于天气原因目前延误，尚无最新起飞时间，济州岛机场，09:00天气实况：霾，11℃，能见度4500米。石家庄机场较大面积延误。09:00天气实况：雾，-6℃，能见度0100米。机型：A320-200，机龄：2.9年。
今天是安全咨询日哦，石家庄基地向广大旅客进行航空安全知识宣传。@春秋航空石家庄营业部 @春秋小叮当 ,2014-08-13,夜晚看不到Jacky,您好，请问春秋石家庄基地有招机务的计划吗？
@春秋小叮当 凌晨三点多发送提醒短信合适么？半夜给人吵醒不让人生气吗！！ ,2014-06-14,瑶瑶瑶_zhou,回复@欧k不欧k:哎呀，我20号才到，21号拿毕业证
 ,2014-06-14,欧k不欧k,回复@瑶瑶瑶_zhou:我20号回乌鲁木齐
 ,2014-06-14,瑶瑶瑶_zhou,我19号回
 ,2014-06-14,欧k不欧k,回复@佳佳佳佳琦:是呀，不过回去就待三天
 ,2014-06-14,佳佳佳佳琦,要回来了么
@春秋小叮当 @春秋航空 是不是每天看到旅客在办理登机牌时为了行李不免费托运而吵架，看到一些旅客打开行李箱拿出多余的行李而满头大汗感到特高兴，特骄傲吧。真需要这么做航空么？ ,2014-02-22,tangbaodaddy,回复@_刘鸽想叫刘霸霸:哎，没脾气
 ,2014-02-22,_刘霸霸_,我就是在机场折腾行李的屎一样的春秋。
 ,2014-02-20,SilenceZzz_,回复@逗号姑娘_:好哒！别忘了通知她们俩
 ,2014-02-20,逗号姑娘_,回复@MomentBe_:去啊这么好天气怎么可以辜负！
 ,2014-02-20,SilenceZzz_,回复@逗号姑娘_:后天湖州去的吧？
 ,2014-02-20,逗号姑娘_,回复@MomentBe_:都有，哪里便宜哪里买啊
 ,2014-02-20,SilenceZzz_,回复@逗号姑娘_:你也淘宝买机票？
 ,2014-02-20,贱狗飞天号,廉价航空就是这样的，便宜嘛
 ,2014-02-20,逗号姑娘_,回复@纠结怪-:我一直都是国航真爱粉好吗
 ,2014-02-20,tangbaodaddy,回复@逗号姑娘_:下次做我们航空的飞机。
"班级聚餐进行时
小伙伴们，火锅好吃吗？@wzh想和你有未来 @疏桐舞晴空 @春秋小叮当 @留一首小诗 @蠢萌的边村长小小只 @从未到过得地方han @春秋小叮当 @罗杰玉 @冷白饭ZWD @张珊-Veronica @lintyf 我在:沿江北路 ",2013-12-25,智慧-WZH,""","
到达上海，晚了一个半小时，@春秋航空 @春秋小叮当 。餐也没的吃，找晚餐去 我在:中环路 ,2013-04-18,春航小叮铛,亲~对于航班延误给您带来的不便，小叮铛在此向亲深表歉意！真的灰常抱歉！
 ,2013-04-17,The-Vicky,OH~~~上海欢迎你。。。
最伤心的莫过是一份虔诚的心长途跋涉带回的心爱之物由于@春秋航空@春秋小叮当 操作管理失误造成物品严重损毁 让我承受如此不能承受的痛 但你们却一句冷漠的回应只因为我没有在下飞机时开包检验 这个理由未免太过牵强可笑？@12315网上投诉 @CCTV315 @消费者权益保护 @STV新闻坊 我昂贵的拖运费费呢？ ,2013-03-12,lemondesign_jewelry,回复@练睡梦罗汉拳_陈大师:嗯 好
 ,2013-03-12,练睡梦罗汉拳_陈大师,回复@小柠檬婚戒定制:死命打，打通你就基本胜利了~~315这时候打它效率最高！
 ,2013-03-12,lemondesign_jewelry,回复@练睡梦罗汉拳_陈大师:打不通啊
 ,2013-03-12,练睡梦罗汉拳_陈大师,还有3天，打12315
 ,2013-03-12,lemondesign_jewelry,回复@琵琶附身:嗯
 ,2013-03-12,琵琶附身,打给渠成热线试试
 ,2013-03-12,要叫爆总哦,可怜的小柠檬 
"@春秋航空 @春秋小叮当 今天中午12点前麻烦你们客户投诉部经理和我联系 否则我们就法庭见
 不会再给你们时间了 耐心和精力已经用完 给了你们足够的时间和非常客观的投诉态度 你们都可以无视的话 对于你们这种垃圾航空 我没必要好姿态了 给脸不要脸的话 我连里子一起扔
 ",2013-03-12,lemondesign_jewelry,回复@春航小叮铛:我会尽量证明不是我弄坏 也请春秋方面给出你们的证明 不是你们弄坏 太尼玛恶心了你们 你们中文告知过我要在机场开包了？这不是让人光火么？我自己知道是那么贵重的物品我会在搬运过程中自己弄坏？？？？
 ,2013-03-12,春航小叮铛,亲~给您带来不愉快，小叮铛在此深表歉意~据小叮铛了解您是回家之后才发现物品损坏，出机场之后的责任本身就很难认定了。。。建议您今后在托运易碎物品时可多加留意物品的完整度哦~此外，我们已诚恳向您解释并说明，如有事实证明是我方过错，春秋航空不会推脱。
 ,2013-03-12,lemondesign_jewelry,回复@猫腻儿Nikko:谢谢！
 ,2013-03-12,York_mama,！！一定要给个说法！
 ,2013-03-12,lemondesign_jewelry,回复@娜娜是个幸福的小胖纸:谢谢亲
 ,2013-03-12,娜娜是个幸福的小胖纸,支持你
 ,2013-03-12,大丸子二哥,""","
春秋航空，广播里航班又说晚点了，这是第三次了………感谢你还通知了一声，然后解释说飞机需要换轮胎…………你们的飞机不定检吗…………@春秋小叮当@春秋航空 ,2012-12-29,看着人来人往的淡定,@春航小叮铛 难的有这样一个人持续的热情的关注'认真！这个人值得拥有！ @古道西风007007 
 ,2012-12-29,春航小叮铛,亲~即使定期检查，对于如此恶劣的天气飞机上有部分零件的使用寿命急剧缩短也属于正常情况尤其是轮胎~正常天气情况下对于轮胎的损耗是很厉害的，更别说这么恶劣的环境条件咯！！给您带来的不便，敬请谅解。
我以我的血泪史告诉大家，以后不能再坐春秋，再便宜也不坐。明明我们的飞机昨晚就在停机坪，塔台数据。春秋居然告诉乘客，因为沈阳大雪，你们的飞机还没有飞过来。飞你妹！！！！！毫无诚信的企业！！！！@春秋航空 @春秋小叮当  ,2012-12-29,春航小叮铛,回复@我要回到最原本的自己:无论哪种工作，都鸭梨山大哟~~
 ,2012-12-29,故事里的事而已,回复@春航小叮铛:作春秋的客服压力山大吧
 ,2012-12-29,梅婳清幽,話說春秋很糾結人滴
 ,2012-12-29,春航小叮铛,亲~前站的天气不好飞不过来，小叮铛也实在是无能为力。。。不过只要有大家的支持今后我们一定会壮大机队哟！！给亲带来的不便，小叮铛在此深表歉意了~~
 ,2012-12-29,故事里的事而已,回复@叮咚遙望白雲裡:wait
 ,2012-12-29,叮咚咚叮娜叮叮,[鄙視]那要到什么时候飞了，难不成一直等着，我都没坐过春秋
 ,2012-12-29,why_嘻哈,那现在情况如何？
我在汉庭快捷酒店(厦禾路店)：海葵不期而至，明天我的航班悬了。不停的刷着微博，关注着@浙江天气 @杭州市气象局 @春秋小叮当 ，关注着我的航班动态。刚刚已经刷出来明天上午的航班取消通知，明天22:30的9C8864还没消息。悬啊 网页链接 ,2012-08-08,高桥红马,更正：春秋客服是@春航小叮铛
